a,b,c
-1.5,-0.0765625,-0.65
-1.5,-0.01179375,-0.5666666667
-1.5,0.06708125,-0.4
-1.5,0.11215625,-0.2333333333
-1.5,0.15721875,0.01666666667
-1.444444444,-0.49680625,-0.9
-1.444444444,-0.285175,-0.8166666667
-1.444444444,-0.15463125,-0.7333333333
-1.444444444,-0.07403125,-0.65
-1.444444444,-0.01153125,-0.5666666667
-1.444444444,0.06533125,-0.4
-1.444444444,0.11491875,-0.2333333333
-1.444444444,0.16305625,0.01666666667
-1.388888889,-0.06624375,-0.65
-1.388888889,-0.00391875,-0.5666666667
-1.388888889,0.078125,-0.4
-1.388888889,0.12434375,-0.2333333333
-1.388888889,0.1698125,0.01666666667
-1.333333333,-0.49301875,-0.9
-1.333333333,-0.2734,-0.8166666667
-1.333333333,-0.1407,-0.7333333333
-1.333333333,-0.05618125,-0.65
-1.333333333,0.0018,-0.5666666667
-1.333333333,0.08143125,-0.4
-1.333333333,0.1355625,-0.2333333333
-1.333333333,0.18236875,0.01666666667
-1.277777778,-0.04738125,-0.65
-1.277777778,0.0165125,-0.5666666667
-1.277777778,0.10049375,-0.4
-1.277777778,0.1509875,-0.2333333333
-1.277777778,0.194575,0.01666666667
-1.222222222,-0.4763,-0.9
-1.222222222,-0.262625,-0.8166666667
-1.222222222,-0.12465,-0.7333333333
-1.222222222,-0.04284375,-0.65
-1.222222222,0.02738125,-0.5666666667
-1.222222222,0.10704375,-0.4
-1.222222222,0.16473125,-0.2333333333
-1.222222222,0.2123625,0.01666666667
-1.166666667,-0.02101875,-0.65
-1.166666667,0.03648125,-0.5666666667
-1.166666667,0.1185,-0.4
-1.166666667,0.1715625,-0.2333333333
-1.166666667,0.22220625,0.01666666667
-1.111111111,-0.46300625,-0.9
-1.111111111,-0.2471,-0.8166666667
-1.111111111,-0.10289375,-0.7333333333
-1.111111111,-0.01589375,-0.65
-1.111111111,0.05088125,-0.5666666667
-1.111111111,0.15455625,-0.4
-1.111111111,0.18915,-0.2333333333
-1.055555556,-0.07699375,-0.7333333333
-1.055555556,-0.00126875,-0.65
-1.055555556,0.05985625,-0.5666666667
-1,-0.227425,-0.8166666667
-1,-0.07278125,-0.7333333333
-1,0.0125625,-0.65
-1,0.06880625,-0.5666666667
-0.9444444444,-0.064475,-0.7333333333
-0.9444444444,0.0169125,-0.65
-0.9444444444,0.0742375,-0.5666666667
-0.8888888889,-0.20410625,-0.8166666667
-0.8888888889,-0.0663875,-0.7333333333
-0.8888888889,0.01268125,-0.65
-0.8888888889,0.0837375,-0.5666666667
-0.8888888889,0.16225,-0.4
-0.8333333333,-0.06866875,-0.7333333333
-0.8333333333,0.01974375,-0.65
-0.8333333333,0.08511875,-0.5666666667
-0.8333333333,0.1713,-0.4
-0.8333333333,0.221375,-0.2333333333
-0.7777777778,-0.424175,-0.9
-0.7777777778,-0.20448125,-0.8166666667
-0.7777777778,-0.06110625,-0.7333333333
-0.7777777778,0.0508125,-0.65
-0.7777777778,0.12675625,-0.5666666667
-0.7777777778,0.1854125,-0.4
-0.7777777778,0.2607875,-0.2333333333
-0.7777777778,0.31124375,0.01666666667
-0.7222222222,-0.03443125,-0.7333333333
-0.7222222222,0.07101875,-0.65
-0.7222222222,0.1405875,-0.5666666667
-0.7222222222,0.22206875,-0.4
-0.7222222222,0.27035,-0.2333333333
-0.7222222222,0.31761875,0.01666666667
-0.6666666667,-0.4302125,-0.9
-0.6666666667,-0.18583125,-0.8166666667
-0.6666666667,-0.02891875,-0.7333333333
-0.6666666667,0.07118125,-0.65
-0.6666666667,0.1382625,-0.5666666667
-0.6666666667,0.23535,-0.4
-0.6666666667,0.2821625,-0.2333333333
-0.6666666667,0.32600625,0.01666666667
-0.6111111111,-0.02410625,-0.7333333333
-0.6111111111,0.0728625,-0.65
-0.6111111111,0.14505,-0.5666666667
-0.6111111111,0.2350375,-0.4
-0.6111111111,0.28220625,-0.2333333333
-0.6111111111,0.32599375,0.01666666667
-0.5555555556,-0.42899375,-0.9
-0.5555555556,-0.17905,-0.8166666667
-0.5555555556,-0.02110625,-0.7333333333
-0.5555555556,0.0766375,-0.65
-0.5555555556,0.1409375,-0.5666666667
-0.5555555556,0.2381875,-0.4
-0.5555555556,0.28125625,-0.2333333333
-0.5555555556,0.3258,0.01666666667
-0.5,-0.02469375,-0.7333333333
-0.5,0.06988125,-0.65
-0.5,0.13585,-0.5666666667
-0.5,0.23161875,-0.4
-0.5,0.27386875,-0.2333333333
-0.5,0.32183125,0.01666666667
-0.4444444444,-0.4306625,-0.9
-0.4444444444,-0.19713125,-0.8166666667
-0.4444444444,-0.03361875,-0.7333333333
-0.4444444444,0.0626125,-0.65
-0.4444444444,0.12738125,-0.5666666667
-0.4444444444,0.22284375,-0.4
-0.4444444444,0.27048125,-0.2333333333
-0.4444444444,0.32236875,0.01666666667
-0.3888888889,-0.03620625,-0.7333333333
-0.3888888889,0.06653125,-0.65
-0.3888888889,0.13510625,-0.5666666667
-0.3888888889,0.22245625,-0.4
-0.3888888889,0.2676875,-0.2333333333
-0.3888888889,0.3131625,0.01666666667
-0.3333333333,-0.42871875,-0.9
-0.3333333333,-0.19425625,-0.8166666667
-0.3333333333,-0.04425625,-0.7333333333
-0.3333333333,0.05326875,-0.65
-0.3333333333,0.1189375,-0.5666666667
-0.3333333333,0.20345625,-0.4
-0.3333333333,0.25899375,-0.2333333333
-0.3333333333,0.29953125,0.01666666667
-0.2777777778,-0.053925,-0.7333333333
-0.2777777778,0.0437625,-0.65
-0.2777777778,0.1036,-0.5666666667
-0.2777777778,0.1937,-0.4
-0.2777777778,0.2416375,-0.2333333333
-0.2777777778,0.28776875,0.01666666667
-0.2222222222,-0.435725,-0.9
-0.2222222222,-0.20980625,-0.8166666667
-0.2222222222,-0.058425,-0.7333333333
-0.2222222222,0.029825,-0.65
-0.2222222222,0.0943125,-0.5666666667
-0.2222222222,0.1779125,-0.4
-0.2222222222,0.22006875,-0.2333333333
-0.2222222222,0.27411875,0.01666666667
-0.1666666667,-0.0709375,-0.7333333333
-0.1666666667,0.01594375,-0.65
-0.1666666667,0.0749,-0.5666666667
-0.1666666667,0.15448125,-0.4
-0.1666666667,0.2075375,-0.2333333333
-0.1666666667,0.26201875,0.01666666667
-0.1111111111,-0.23011875,-0.8166666667
-0.1111111111,-0.08230625,-0.7333333333
-0.1111111111,0.00565,-0.65
-0.1111111111,0.067175,-0.5666666667
-0.1111111111,0.15345625,-0.4
-0.05555555556,-0.09634375,-0.7333333333
-0.05555555556,-0.01176875,-0.65
-0.05555555556,0.0516,-0.5666666667
0,-0.2489875,-0.8166666667
0,-0.108675,-0.7333333333
0,-0.02310625,-0.65
0,0.0416,-0.5666666667
0.05555555556,-0.03689375,-0.65
0.05555555556,0.023225,-0.5666666667
0.05555555556,0.10195625,-0.4
0.1111111111,-0.27925,-0.8166666667
0.1111111111,-0.1413,-0.7333333333
0.1111111111,-0.055025,-0.65
0.1111111111,0.0134625,-0.5666666667
0.1111111111,0.09739375,-0.4
0.1666666667,-0.0582375,-0.65
0.1666666667,0.00248125,-0.5666666667
0.1666666667,0.08346875,-0.4
0.1666666667,0.13025,-0.2333333333
0.1666666667,0.1794625,0.01666666667
0.2222222222,-0.29375,-0.8166666667
0.2222222222,-0.14703125,-0.7333333333
0.2222222222,-0.06125625,-0.65
0.2222222222,-0.001425,-0.5666666667
0.2222222222,0.0745875,-0.4
0.2222222222,0.12403125,-0.2333333333
0.2222222222,0.1725875,0.01666666667
0.2777777778,-0.06085,-0.65
0.2777777778,-0.00928125,-0.5666666667
0.2777777778,0.06313125,-0.4
0.2777777778,0.1171875,-0.2333333333
0.2777777778,0.16151875,0.01666666667
0.3333333333,-0.29239375,-0.8166666667
0.3333333333,-0.15965,-0.7333333333
0.3333333333,-0.07550625,-0.65
0.3333333333,-0.01856875,-0.5666666667
0.3333333333,0.06820625,-0.4
0.3333333333,0.1176375,-0.2333333333
0.3333333333,0.16304375,0.01666666667
0.3888888889,-0.0672875,-0.65
0.3888888889,-0.013875,-0.5666666667
0.3888888889,0.0742,-0.4
0.3888888889,0.119675,-0.2333333333
0.3888888889,0.1625,0.01666666667
0.4444444444,-0.49468125,-0.9
0.4444444444,-0.28710625,-0.8166666667
0.4444444444,-0.159375,-0.7333333333
0.4444444444,-0.07648125,-0.65
0.4444444444,-0.0167625,-0.5666666667
0.4444444444,0.0601,-0.4
0.4444444444,0.11198125,-0.2333333333
0.4444444444,0.152775,0.01666666667
0.5,-0.0765625,-0.65
0.5,-0.01179375,-0.5666666667
0.5,0.06708125,-0.4
0.5,0.11215625,-0.2333333333
0.5,0.15721875,0.01666666667
0.5555555556,-0.49680625,-0.9
0.5555555556,-0.285175,-0.8166666667
0.5555555556,-0.15463125,-0.7333333333
0.5555555556,-0.07403125,-0.65
0.5555555556,-0.01153125,-0.5666666667
0.5555555556,0.06533125,-0.4
0.5555555556,0.11491875,-0.2333333333
0.5555555556,0.16305625,0.01666666667
0.6111111111,-0.06624375,-0.65
0.6111111111,-0.00391875,-0.5666666667
0.6111111111,0.078125,-0.4
0.6111111111,0.12434375,-0.2333333333
0.6111111111,0.1698125,0.01666666667
0.6666666667,-0.49301875,-0.9
0.6666666667,-0.2734,-0.8166666667
0.6666666667,-0.1407,-0.7333333333
0.6666666667,-0.05618125,-0.65
0.6666666667,0.0018,-0.5666666667
0.6666666667,0.08143125,-0.4
0.6666666667,0.1355625,-0.2333333333
0.6666666667,0.18236875,0.01666666667
0.7222222222,-0.04738125,-0.65
0.7222222222,0.0165125,-0.5666666667
0.7222222222,0.10049375,-0.4
0.7222222222,0.1509875,-0.2333333333
0.7222222222,0.194575,0.01666666667
0.7777777778,-0.4763,-0.9
0.7777777778,-0.262625,-0.8166666667
0.7777777778,-0.12465,-0.7333333333
0.7777777778,-0.04284375,-0.65
0.7777777778,0.02738125,-0.5666666667
0.7777777778,0.10704375,-0.4
0.7777777778,0.16473125,-0.2333333333
0.7777777778,0.2123625,0.01666666667
0.8333333333,-0.02101875,-0.65
0.8333333333,0.03648125,-0.5666666667
0.8333333333,0.1185,-0.4
0.8333333333,0.1715625,-0.2333333333
0.8333333333,0.22220625,0.01666666667
0.8888888889,-0.46300625,-0.9
0.8888888889,-0.2471,-0.8166666667
0.8888888889,-0.10289375,-0.7333333333
0.8888888889,-0.01589375,-0.65
0.8888888889,0.05088125,-0.5666666667
0.8888888889,0.15455625,-0.4
0.8888888889,0.18915,-0.2333333333
0.9444444444,-0.07699375,-0.7333333333
0.9444444444,-0.00126875,-0.65
0.9444444444,0.05985625,-0.5666666667
1,-0.23308125,-0.8166666667
1,-0.08121875,-0.7333333333
1,0.011575,-0.65
1,0.0762625,-0.5666666667
1.055555556,-0.064475,-0.7333333333
1.055555556,0.0169125,-0.65
1.055555556,0.0742375,-0.5666666667
1.111111111,-0.20410625,-0.8166666667
1.111111111,-0.0663875,-0.7333333333
1.111111111,0.01268125,-0.65
1.111111111,0.0837375,-0.5666666667
1.111111111,0.16225,-0.4
1.166666667,-0.06866875,-0.7333333333
1.166666667,0.01974375,-0.65
1.166666667,0.08511875,-0.5666666667
1.166666667,0.1713,-0.4
1.166666667,0.221375,-0.2333333333
1.222222222,-0.424175,-0.9
1.222222222,-0.20448125,-0.8166666667
1.222222222,-0.06110625,-0.7333333333
1.222222222,0.0508125,-0.65
1.222222222,0.12675625,-0.5666666667
1.222222222,0.1854125,-0.4
1.222222222,0.2607875,-0.2333333333
1.222222222,0.31124375,0.01666666667
1.277777778,-0.03443125,-0.7333333333
1.277777778,0.07101875,-0.65
1.277777778,0.1405875,-0.5666666667
1.277777778,0.22206875,-0.4
1.277777778,0.27035,-0.2333333333
1.277777778,0.31761875,0.01666666667
1.333333333,-0.4302125,-0.9
1.333333333,-0.18583125,-0.8166666667
1.333333333,-0.02891875,-0.7333333333
1.333333333,0.07118125,-0.65
1.333333333,0.1382625,-0.5666666667
1.333333333,0.23535,-0.4
1.333333333,0.2821625,-0.2333333333
1.333333333,0.32600625,0.01666666667
1.388888889,-0.02410625,-0.7333333333
1.388888889,0.0728625,-0.65
1.388888889,0.14505,-0.5666666667
1.388888889,0.2350375,-0.4
1.388888889,0.28220625,-0.2333333333
1.388888889,0.32599375,0.01666666667
1.444444444,-0.42899375,-0.9
1.444444444,-0.17905,-0.8166666667
1.444444444,-0.02110625,-0.7333333333
1.444444444,0.0766375,-0.65
1.444444444,0.1409375,-0.5666666667
1.444444444,0.2381875,-0.4
1.444444444,0.28125625,-0.2333333333
1.444444444,0.3258,0.01666666667
1.5,-0.02469375,-0.7333333333
1.5,0.06988125,-0.65
1.5,0.13585,-0.5666666667
1.5,0.23161875,-0.4
1.5,0.27386875,-0.2333333333
1.5,0.32183125,0.01666666667
